Road_traffic_density,Festival,multiple_deliveries,Delivery_person_Ratings,Delivery_person_Age,City,Weatherconditions,Vehicle_condition,Type_of_vehicle,Time_taken(min)
Jam,No,0,3.9,38,Metropolitian,Stormy,1,motorcycle,42
Jam,No,1,4.7,35,Metropolitian,Fog,1,motorcycle,34
Low,No,1,4.7,29,Metropolitian,Sandstorms,1,motorcycle,17
Jam,No,0,4.6,27,Metropolitian,Stormy,1,scooter,25
Jam,Yes,1,4.3,38,Semi-Urban,Sandstorms,0,motorcycle,54
Low,No,0,4.9,36,Metropolitian,Windy,2,motorcycle,21
Jam,No,1,4.1,26,Metropolitian,Fog,2,motorcycle,36
Medium,No,0,4.9,36,Metropolitian,Sunny,1,motorcycle,17
Low,No,1,4.7,21,Metropolitian,Sunny,0,motorcycle,16
Jam,No,1,4.7,35,Metropolitian,Sunny,2,electric_scooter,27
High,No,1,4.5,20,Metropolitian,Fog,2,motorcycle,26
Jam,Yes,2,4.6,23,Metropolitian,Fog,0,motorcycle,46
Jam,No,0,5.0,37,Metropolitian,Sunny,0,motorcycle,29
Jam,No,1,4.8,26,Metropolitian,Sandstorms,0,motorcycle,23
Medium,No,0,4.9,26,Metropolitian,Stormy,1,motorcycle,28
Jam,No,1,4.8,29,Metropolitian,Cloudy,0,motorcycle,25
Low,No,0,4.7,29,Metropolitian,Sandstorms,2,motorcycle,11
Medium,No,1,4.9,21,Metropolitian,Windy,1,scooter,26
Low,No,1,4.3,22,Metropolitian,Stormy,0,motorcycle,23
Medium,No,2,4.0,31,Metropolitian,Fog,1,motorcycle,39
Medium,No,1,4.8,36,Metropolitian,Fog,0,motorcycle,43
Low,No,0,4.7,32,Metropolitian,Windy,2,electric_scooter,25
Medium,No,0,5.0,25,Metropolitian,Windy,1,motorcycle,27
Medium,No,1,4.5,27,Metropolitian,Windy,2,scooter,29
Medium,No,1,4.1,32,Metropolitian,Sandstorms,0,motorcycle,33
Medium,No,1,4.7,23,Urban,Fog,1,motorcycle,19
Medium,No,1,4.4,39,Metropolitian,Sunny,0,motorcycle,33
Jam,No,1,4.8,20,Metropolitian,Fog,1,motorcycle,28
Jam,No,1,4.6,29,Metropolitian,Stormy,1,scooter,29
Low,No,1,4.9,26,Metropolitian,Stormy,2,scooter,18
Low,No,1,5.0,25,Metropolitian,Stormy,1,motorcycle,14
Medium,No,1,4.7,34,Metropolitian,Windy,1,motorcycle,30
High,No,0,4.9,31,Metropolitian,Sunny,0,motorcycle,28
Jam,No,1,4.7,24,Metropolitian,Fog,0,motorcycle,39
Medium,No,0,4.9,30,Metropolitian,Cloudy,2,motorcycle,30
Medium,No,1,4.8,36,Metropolitian,Sandstorms,0,motorcycle,36
Jam,No,1,4.7,26,Metropolitian,Cloudy,0,motorcycle,43
Medium,No,1,4.8,20,Metropolitian,Stormy,2,scooter,25
Medium,No,1,4.7,33,Urban,Fog,2,electric_scooter,15
Jam,No,2,4.0,34,Metropolitian,Windy,0,motorcycle,39
Low,No,1,4.6,36,Metropolitian,Windy,0,motorcycle,20
Low,No,1,4.6,33,Metropolitian,Fog,1,motorcycle,15
Low,No,1,4.8,22,Metropolitian,Sandstorms,1,motorcycle,16
Low,No,1,4.7,38,Metropolitian,Sunny,2,scooter,19
Low,No,0,4.9,27,Metropolitian,Fog,2,scooter,20
Jam,No,1,4.8,32,Metropolitian,Sunny,2,scooter,25
Jam,No,1,4.8,26,Metropolitian,Cloudy,0,motorcycle,43
Low,No,0,4.5,29,Urban,Windy,0,motorcycle,15
Jam,No,0,4.5,31,Urban,Sunny,0,motorcycle,29
High,No,0,4.6,28,Metropolitian,Stormy,2,motorcycle,14
Medium,No,1,4.8,21,Metropolitian,Sunny,1,motorcycle,11
Low,No,1,4.9,30,Metropolitian,Windy,1,motorcycle,29
Medium,No,1,4.7,29,Urban,Cloudy,2,motorcycle,11
High,No,0,4.8,20,Metropolitian,Sunny,1,motorcycle,14
Low,No,0,5.0,28,Urban,Windy,0,motorcycle,15
Low,No,1,4.7,25,Metropolitian,Sandstorms,0,motorcycle,16
Low,No,1,4.8,38,Metropolitian,Stormy,1,motorcycle,20
Low,No,1,4.9,39,Metropolitian,Stormy,1,motorcycle,26
Medium,No,0,4.9,26,Metropolitian,Windy,1,scooter,26
Jam,No,0,4.4,33,Urban,Windy,1,motorcycle,43
Medium,No,1,4.6,24,Urban,Sandstorms,0,motorcycle,25
Medium,No,1,4.9,24,Metropolitian,Fog,0,motorcycle,28
Low,No,0,4.5,33,Metropolitian,Stormy,2,scooter,17
Jam,No,1,4.2,35,Metropolitian,Windy,1,motorcycle,44
Jam,No,1,4.2,27,Metropolitian,Stormy,0,motorcycle,33
Medium,No,0,4.5,29,Metropolitian,Sunny,0,motorcycle,15
Low,No,1,4.7,34,Metropolitian,Fog,1,scooter,27
High,No,1,4.7,20,Metropolitian,Cloudy,2,scooter,25
High,No,1,4.8,29,Metropolitian,Sunny,1,motorcycle,18
Medium,No,0,4.9,22,Metropolitian,Stormy,2,scooter,21
Jam,No,2,4.9,35,Metropolitian,Cloudy,0,motorcycle,53
Jam,No,3,4.4,32,Metropolitian,Sandstorms,0,motorcycle,42
Jam,No,1,4.9,28,Metropolitian,Sunny,2,motorcycle,20
Low,No,0,4.7,30,Metropolitian,Fog,1,scooter,29
Jam,No,0,4.7,22,Urban,Stormy,2,scooter,15
Medium,No,1,4.7,36,Metropolitian,Fog,0,motorcycle,30
Jam,No,1,4.8,23,Metropolitian,Windy,0,motorcycle,28
Low,No,1,4.5,29,Metropolitian,Sandstorms,2,motorcycle,15
Jam,Yes,3,4.9,34,Urban,Sandstorms,0,motorcycle,50
High,Yes,1,4.1,38,Metropolitian,Stormy,0,motorcycle,41
Medium,No,1,5.0,35,Metropolitian,Fog,0,motorcycle,37
Jam,No,1,4.7,38,Metropolitian,Cloudy,2,scooter,28
Medium,No,2,4.3,32,Metropolitian,Cloudy,1,scooter,35
Jam,No,1,4.5,20,Metropolitian,Windy,2,motorcycle,27
Jam,No,2,4.9,25,Metropolitian,Fog,0,motorcycle,43
Jam,No,1,4.7,32,Metropolitian,Sandstorms,2,scooter,31
Jam,No,2,4.1,39,Metropolitian,Cloudy,1,motorcycle,39
Jam,No,1,4.4,31,Urban,Stormy,0,motorcycle,47
Low,No,1,4.5,37,Urban,Fog,0,motorcycle,26
Medium,No,1,4.9,36,Metropolitian,Cloudy,2,electric_scooter,31
Jam,No,1,3.8,37,Metropolitian,Sandstorms,1,motorcycle,42
Jam,No,1,4.4,37,Metropolitian,Sandstorms,0,motorcycle,39
Medium,No,0,4.9,35,Metropolitian,Fog,2,electric_scooter,18
Jam,No,1,4.8,22,Urban,Sandstorms,1,scooter,22
Low,No,1,4.8,28,Metropolitian,Fog,0,motorcycle,23
Medium,No,0,4.0,39,Metropolitian,Stormy,0,motorcycle,48
Low,No,0,4.5,29,Urban,Windy,1,scooter,13
High,No,1,4.6,39,Metropolitian,Sandstorms,2,motorcycle,32
Jam,No,0,4.9,25,Urban,Sandstorms,2,electric_scooter,16
Medium,No,0,5.0,34,Urban,Cloudy,2,electric_scooter,19
Low,No,1,4.8,22,Metropolitian,Sunny,1,motorcycle,18
Jam,No,1,5.0,27,Metropolitian,Windy,0,motorcycle,27
Medium,No,1,4.5,28,Urban,Sunny,0,motorcycle,25
Medium,No,1,5.0,32,Metropolitian,Stormy,2,scooter,31
Medium,No,0,4.6,27,Metropolitian,Sunny,0,motorcycle,20
Jam,No,2,3.9,35,Metropolitian,Windy,1,motorcycle,38
Low,No,1,4.6,22,Metropolitian,Windy,1,motorcycle,19
Jam,No,1,4.7,35,Metropolitian,Sunny,2,electric_scooter,17
Low,No,0,4.6,30,Urban,Cloudy,0,motorcycle,24
High,No,1,4.8,39,Urban,Fog,2,scooter,26
Medium,No,1,4.8,33,Metropolitian,Sandstorms,2,motorcycle,28
Medium,No,1,4.7,20,Urban,Sandstorms,2,scooter,16
Medium,No,0,4.7,20,Urban,Fog,2,motorcycle,17
Low,No,0,4.2,34,Urban,Windy,0,motorcycle,24
High,No,1,4.3,37,Metropolitian,Stormy,2,scooter,34
Low,No,1,4.8,20,Urban,Cloudy,1,motorcycle,16
Low,No,1,4.9,33,Metropolitian,Windy,1,motorcycle,26
Medium,No,1,5.0,21,Metropolitian,Fog,1,motorcycle,25
Medium,No,2,4.6,33,Metropolitian,Fog,0,motorcycle,49
Medium,No,0,4.6,24,Urban,Windy,2,electric_scooter,24
High,No,2,4.7,36,Metropolitian,Sandstorms,2,scooter,32
Medium,No,1,4.6,30,Metropolitian,Sunny,0,motorcycle,26
Low,No,1,4.9,32,Metropolitian,Sandstorms,1,scooter,24
Jam,No,0,4.6,28,Metropolitian,Stormy,2,electric_scooter,16
Jam,No,1,4.7,21,Metropolitian,Windy,2,scooter,27
High,No,1,4.9,39,Metropolitian,Fog,0,motorcycle,25
Low,No,0,4.7,32,Metropolitian,Cloudy,0,motorcycle,26
Jam,No,1,4.5,20,Urban,Sandstorms,1,scooter,25
Low,No,1,5.0,36,Urban,Fog,2,scooter,15
Low,No,1,4.8,28,Urban,Sunny,1,scooter,18
Jam,No,1,4.5,32,Metropolitian,Fog,0,motorcycle,30
Jam,No,1,4.4,39,Metropolitian,Cloudy,1,scooter,46
Low,No,1,4.7,30,Metropolitian,Windy,0,motorcycle,24
Medium,No,1,4.4,32,Metropolitian,Sandstorms,0,motorcycle,37
Jam,No,1,4.6,23,Metropolitian,Windy,0,motorcycle,27
Medium,No,1,4.2,31,Metropolitian,Windy,2,electric_scooter,32
High,No,1,4.6,37,Urban,Stormy,2,electric_scooter,28
Jam,No,1,4.5,20,Metropolitian,Sandstorms,0,motorcycle,29
Low,No,1,4.5,28,Metropolitian,Sandstorms,0,motorcycle,27
Low,No,0,4.9,22,Metropolitian,Cloudy,1,motorcycle,11
Medium,No,1,4.7,20,Urban,Cloudy,1,motorcycle,13
Low,No,1,4.8,34,Metropolitian,Windy,1,scooter,27
High,No,1,4.8,38,Metropolitian,Windy,1,scooter,25
High,No,1,4.5,32,Metropolitian,Cloudy,2,motorcycle,27
Low,No,1,4.9,34,Metropolitian,Sunny,2,scooter,26
Medium,No,1,3.9,33,Metropolitian,Windy,2,electric_scooter,32
Low,No,1,4.5,34,Metropolitian,Windy,1,motorcycle,25
Jam,No,1,4.6,32,Metropolitian,Stormy,2,motorcycle,32
Jam,No,1,4.7,34,Metropolitian,Sunny,0,motorcycle,29
Jam,No,0,4.6,26,Metropolitian,Cloudy,1,scooter,32
Low,No,1,4.0,31,Metropolitian,Cloudy,0,motorcycle,35
High,No,1,4.8,39,Metropolitian,Sunny,0,motorcycle,27
Low,No,0,4.8,27,Metropolitian,Sunny,1,motorcycle,15
Jam,No,1,5.0,32,Urban,Cloudy,2,scooter,27
Medium,No,1,4.5,32,Metropolitian,Stormy,0,motorcycle,30
Medium,No,1,4.1,39,Metropolitian,Sunny,0,motorcycle,32
Low,No,0,4.8,36,Metropolitian,Stormy,2,electric_scooter,25
Medium,No,1,4.1,37,Metropolitian,Windy,0,motorcycle,38
Jam,No,1,4.8,37,Metropolitian,Fog,1,scooter,26
Jam,No,1,3.7,38,Metropolitian,Stormy,1,motorcycle,31
High,No,1,4.7,28,Metropolitian,Stormy,2,scooter,28
Medium,No,0,3.8,34,Metropolitian,Stormy,1,scooter,31
Low,No,1,4.9,32,Metropolitian,Cloudy,1,motorcycle,29
Low,No,0,4.7,22,Urban,Windy,1,motorcycle,17
Medium,Yes,3,4.0,31,Metropolitian,Windy,0,motorcycle,45
Medium,No,1,4.0,27,Metropolitian,Sandstorms,0,motorcycle,34
Jam,No,0,4.9,29,Metropolitian,Windy,1,scooter,24
Jam,No,3,4.8,38,Metropolitian,Sandstorms,0,motorcycle,44
Jam,No,2,4.8,35,Metropolitian,Cloudy,2,motorcycle,36
Jam,No,0,4.9,31,Metropolitian,Sunny,0,motorcycle,28
Medium,No,2,4.3,30,Metropolitian,Windy,1,scooter,37
Medium,No,0,4.9,24,Urban,Fog,1,motorcycle,10
Low,No,0,4.8,33,Urban,Stormy,2,motorcycle,23
Low,No,0,4.6,29,Metropolitian,Sandstorms,0,motorcycle,22
High,No,1,4.6,38,Metropolitian,Stormy,2,scooter,26
Jam,No,1,4.9,26,Metropolitian,Sandstorms,0,motorcycle,34
Medium,No,0,4.8,39,Metropolitian,Sandstorms,2,scooter,26
Low,No,1,4.2,34,Metropolitian,Stormy,0,motorcycle,28
Low,No,0,4.7,26,Metropolitian,Windy,2,motorcycle,14
Medium,No,1,4.7,35,Metropolitian,Cloudy,2,motorcycle,17
Medium,No,1,4.2,36,Metropolitian,Sandstorms,0,motorcycle,37
Low,Yes,1,2.6,24,Metropolitian,Sunny,1,motorcycle,42
Medium,No,1,4.3,33,Metropolitian,Cloudy,1,motorcycle,34
Medium,No,1,4.6,26,Metropolitian,Windy,1,motorcycle,25
Jam,No,1,5.0,32,Urban,Windy,1,scooter,30
Jam,No,2,4.9,37,Metropolitian,Fog,0,motorcycle,48
Low,No,1,4.9,26,Metropolitian,Stormy,2,scooter,18
Low,No,0,4.8,31,Metropolitian,Stormy,1,scooter,28
Medium,No,1,4.6,37,Urban,Stormy,1,motorcycle,26
Jam,No,0,4.7,26,Urban,Sunny,2,scooter,16
Jam,No,0,4.8,37,Metropolitian,Cloudy,0,motorcycle,25
Jam,No,0,4.6,22,Metropolitian,Sunny,2,motorcycle,22
Low,No,0,4.4,21,Metropolitian,Windy,0,motorcycle,15
Low,No,1,4.0,22,Urban,Sandstorms,0,motorcycle,28
Low,No,1,4.5,38,Urban,Windy,1,motorcycle,20
High,No,1,4.0,28,Metropolitian,Stormy,0,motorcycle,32
Jam,No,0,4.7,29,Urban,Sandstorms,1,scooter,17
High,No,1,4.9,31,Metropolitian,Cloudy,1,motorcycle,38
Low,No,0,4.8,24,Metropolitian,Cloudy,2,scooter,14
Medium,No,1,4.8,33,Metropolitian,Windy,1,motorcycle,26
Jam,No,1,4.9,26,Metropolitian,Sandstorms,0,motorcycle,30
Jam,No,1,4.7,20,Metropolitian,Cloudy,1,scooter,29
Low,No,0,4.8,29,Urban,Windy,1,scooter,12
Medium,Yes,3,4.0,32,Urban,Windy,0,motorcycle,49
Medium,No,1,4.9,20,Metropolitian,Fog,0,motorcycle,42
Medium,No,1,5.0,26,Urban,Sandstorms,2,electric_scooter,24
Jam,No,1,4.8,38,Metropolitian,Cloudy,2,motorcycle,46
High,No,1,4.6,34,Urban,Sandstorms,2,electric_scooter,27
Low,No,0,4.5,27,Metropolitian,Stormy,1,motorcycle,13
Jam,No,1,5.0,29,Metropolitian,Windy,1,motorcycle,25
Jam,No,1,4.9,24,Urban,Windy,2,motorcycle,24
Low,No,0,4.9,21,Metropolitian,Cloudy,1,motorcycle,12
Low,No,1,4.4,33,Metropolitian,Windy,0,motorcycle,24
Jam,No,1,4.7,35,Metropolitian,Sandstorms,1,motorcycle,29
Low,No,1,4.7,35,Metropolitian,Stormy,2,scooter,18
Low,No,1,4.8,29,Metropolitian,Cloudy,1,motorcycle,23
Low,No,1,4.9,21,Metropolitian,Windy,0,motorcycle,19
Jam,No,1,4.6,29,Urban,Windy,0,motorcycle,29
Jam,No,0,4.7,22,Metropolitian,Sunny,0,motorcycle,24
Jam,No,0,4.4,24,Metropolitian,Cloudy,2,scooter,40
High,No,0,4.9,23,Metropolitian,Stormy,2,scooter,22
Medium,No,1,4.1,33,Metropolitian,Sandstorms,0,motorcycle,43
Medium,No,1,4.6,35,Metropolitian,Windy,2,scooter,26
Medium,No,0,4.7,21,Metropolitian,Windy,1,scooter,27
Low,No,2,4.4,39,Metropolitian,Fog,0,motorcycle,35
Low,No,1,4.8,34,Metropolitian,Windy,2,scooter,27
High,No,1,4.9,29,Urban,Cloudy,0,motorcycle,27
Low,No,0,4.7,20,Metropolitian,Fog,1,scooter,17
Low,No,0,4.8,20,Urban,Sandstorms,0,motorcycle,17
Low,No,0,4.7,30,Metropolitian,Sunny,1,motorcycle,15
Jam,No,1,4.7,37,Metropolitian,Fog,2,scooter,39
